Latin Name,Common Name,Taxon_groug,Obs_Abunda,Grid_ref,Event_Loca,Sample_Loc,Sample_Dat,Sample_Yea,Sample_Rec,Obs_Determ,Determinat,Determiner,Determin_1,Obs_Record,Sample_Com,Survey_Nam,Obs_Commen,Specimen_N,Recommen_2,Obs_Key,All_Design,lat (generated automaticaly using geodesy-test3.html from grid ref),lat (generated automaticaly using geodesy-test3.html from grid ref)
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,14/08/1917,1917,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",14/08/1917,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QS,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY504544,Cairn Bridge,Cairn Bridge,14/08/1917,1917,Unknown,Unknown,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",14/08/1917,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R8,,54.88187981,-2.7746244
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY4372,"Easton, Longtown","Easton, Longtown",11/05/1907,1907,Unknown,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",11/05/1907,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3T2,,55.03922764,-2.893454131
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,30/06/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",30/06/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3U8,,54.88298247,-2.741912122
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,06/06/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",06/06/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3U9,,54.88298247,-2.741912122
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,30/08/1917,1917,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",30/08/1917,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3TN,,54.88298247,-2.741912122
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,TM02,Colchester,Colchester,1903,1903,Harwood,Harwood,Unconfirmed,,1903,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3TP,,51.84276964,0.901948044
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,SY68,"Upwey, Dorset","Upwey, Dorset",Unknown,0,Unknown,Unknown,Unconfirmed,,Unknown,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3TO,,50.6183271,-2.566767409
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female; 3 Count of Adult Male,TM02,Colchester,Colchester,Unknown,0,Harwood,Harwood,Unconfirmed,,Unknown,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3TK,,51.84276964,0.901948044
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,SU20,New Forest,New Forest,Unknown,0,Unknown,Unknown,Unconfirmed,,Unknown,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3TL,,50.79921941,-1.717574583
Bombus (Psithyrus) campestris,Field Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,TM02,Colchester,Colchester,1890 - 1934,1890,W.H. Harwood,W.H. Harwood,Unconfirmed,,1890 - 1934,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080G0000000000000000,SR0004450000F3U7,,51.84276964,0.901948044
Bombus distinguendus,Great Yellow Bumble Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,27/07/1918,1918,George Routledge,George Routledge,Unconfirmed,,27/07/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080J0000000000000000,SR0004450000F4BM,"BAP-2007, Notable-B, Scottish_Biodiversity_List, UKBAP-2007",54.88298247,-2.741912122
Bombus distinguendus,Great Yellow Bumble Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,10/06/1918,1918,George Routledge,George Routledge,Unconfirmed,,10/06/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080J0000000000000000,SR0004450000F4BN,"BAP-2007, Notable-B, Scottish_Biodiversity_List, UKBAP-2007",54.88298247,-2.741912122
Bombus distinguendus,Great Yellow Bumble Bee,insect - hymenopteran,1 Count of worker,NY15B,Silloth,Silloth,22/07/1900,1900,Unknown,Unknown,Unconfirmed,,22/07/1900,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080J0000000000000000,SR0004450000F4BO,"BAP-2007, Notable-B, Scottish_Biodiversity_List, UKBAP-2007",54.85925324,-3.395780949
Bombus (Megabombus) hortorum,Small Garden Bumble Bee,insect - hymenopteran,1 Count of worker,NY55H,Tarn Lodge,Tarn Lodge,04/09/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",04/09/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080K0000000000000000,SR0004450000F3KA,,54.88298247,-2.741912122
Bombus (Megabombus) hortorum,Small Garden Bumble Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,18/08/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",18/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080K0000000000000000,SR0004450000F3JB,,54.88298247,-2.741912122
Bombus (Megabombus) hortorum,Small Garden Bumble Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,18/08/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",18/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080K0000000000000000,SR0004450000F3JC,,54.88298247,-2.741912122
Bombus (Megabombus) hortorum,Small Garden Bumble Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,15/08/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",15/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080K0000000000000000,SR0004450000F3J4,,54.88298247,-2.741912122
Bombus (Megabombus) hortorum,Small Garden Bumble Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,10/08/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",10/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080K0000000000000000,SR0004450000F3HM,,54.88298247,-2.741912122
Bombus (Megabombus) hortorum,Small Garden Bumble Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,05/08/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",05/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080K0000000000000000,SR0004450000F3J6,,54.88298247,-2.741912122
